"index","index_name","index_source",
"UNEMPL","Google Unemployment Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:UNEMPL",
"ADVERT","Google Advertising Marketing Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:ADVERT",
"AIRTVL","Google Air Travel Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:AIRTVL",
"AUTOBY","Google Auto Buyers Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:AUTOBY",
"AUTOFI","Google Auto Financing Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:AUTOFI",
"AUTO","Google Automotive Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:AUTO",
"BIZIND","Google Business and Industrial Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:BIZIND",
"BNKRPT","Google Bankruptcy Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:BNKRPT",
"COMLND","Google Commercial Lending Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:COMLND",
"COMPUT","Google Computers Electronics Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:COMPUT",
"CONSTR","Google Construction Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:CONSTR",
"CRCARD","Google Credit Cards Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:CRCARD",
"DURBLE","Google Durable Goods Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:DURBLE",
"EDUCAT","Google Education Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:EDUCAT",
"INVEST","Google Investing Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:INVEST",
"FINPLN","Google Financial Planning Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:FINPLN",
"FURNTR","Google Furniture Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:FURNTR",
"INSUR","Google Insurance Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:INSUR",
"JOBS","Google Jobs Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:JOBS",
"LUXURY","Google Luxuries Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:LUXURY",
"MOBILE","Google Mobile & Wireless Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:MOBILE",
"MTGE","Google Mortgage Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:MTGE",
"RLEST","Google Real Estate Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:RLEST",
"RENTAL","Google Rental Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:RENTAL",
"SHOP","Google Shopping Index","http://finance.google.com/finance/historical?output=csv&q=GOOGLEINDEX_US:SHOP",
